,Unnamed: 0,driver_id,client_id,start,start_latitude,start_longtitude,finish,finish_latitude,finish_longtitude,distance,road_time,start_time,finish_time,cost,driver_rate,category_driver_feedback,text_driver_feedback,client_rate,category_client_feedback,text_client_feedback
0,0,648,2870,SW15 2SJ,51.460424,-0.217948,SE9 5NU,51.442115,0.051031,18.81,0 days 00:25:00,2012-07-08 19:33:02,2012-07-08 19:58:02,17.11,,,,,,
1,1,2339,2457,W1M 1AE,51.517773,-0.155939,W2 6WA,51.516375,-0.175251,1.35,0 days 00:08:00,2013-04-13 23:03:42,2013-04-13 23:11:42,3.48,,,,2.0,,
2,2,141,3724,SW7 2AX,51.500505,-0.178219,SE15 1EE,51.480964,-0.056682,8.72,0 days 00:15:00,2012-03-30 00:36:32,2012-03-30 00:51:32,8.27,,,,,,
3,3,476,2028,SW7 4AY,51.496342,-0.184623,UB2 4XX,51.5075,-0.378483,13.52,0 days 00:22:00,2013-09-27 01:53:10,2013-09-27 02:15:10,11.39,,,,3.0,,
4,4,334,2029,WC1E 7BP,51.517133,-0.134244,W1W 7DB,51.518094,-0.139797,0.4,0 days 00:12:00,2012-07-10 20:30:56,2012-07-10 20:42:56,2.2,4.0,,,,,
5,5,2033,602,NW10 3JX,51.538228,-0.223361,W4 3YZ,51.491534,-0.262587,5.87,0 days 00:08:00,2013-12-24 03:30:11,2013-12-24 03:38:11,6.42,,,,1.0,loud,
6,6,1924,309,N20 0QA,51.623276,-0.176932,N1 7ZE,51.539277,-0.103676,10.64,0 days 00:17:00,2017-06-11 09:03:57,2017-06-11 09:20:57,10.98,,,,,,
7,7,331,408,SE16 4TP,51.500259,-0.062461,NW3 7BH,51.555379,-0.194044,11.0,0 days 00:16:00,2016-01-09 03:07:31,2016-01-09 03:23:31,9.75,5.0,,,5.0,,
8,8,1252,2572,W1U 5NT,51.522033,-0.152941,W1J 5DA,51.508649,-0.145917,1.57,0 days 00:26:00,2011-04-12 07:22:46,2011-04-12 07:48:46,2.78,,,,,,
9,9,1216,1394,KT2 5EH,51.414839,-0.300729,BR1 2XY,51.408226,0.017578,22.16,0 days 00:32:00,2014-05-29 03:21:52,2014-05-29 03:53:52,17.0,,,,5.0,,
10,10,1806,1901,E14 9FN,51.507197,-0.005894,SE16 4WG,51.500672,-0.067342,4.33,0 days 00:07:00,2011-05-17 09:01:43,2011-05-17 09:08:43,6.25,,,,3.0,,
11,11,1946,45,WC1H 9UY,51.516327,-0.123769,CR0 2XU,51.384876,-0.09828,14.73,0 days 00:19:00,2018-10-13 09:21:52,2018-10-13 09:40:52,14.05,,,,4.0,,
12,12,1225,1379,BR2 6WD,51.361078,0.037224,SE21 8JT,51.440645,-0.103605,13.21,0 days 00:19:00,2011-07-02 05:38:51,2011-07-02 05:57:51,11.19,,,,3.0,dirty,
13,13,226,1153,NW3 4BG,51.550379,-0.166794,SE9 5DL,51.450285,0.055917,19.06,0 days 00:27:00,2015-09-02 19:43:10,2015-09-02 20:10:10,17.29,5.0,,,,,
14,14,1217,2959,SW11 2YB,51.464567,-0.164692,WC2R 1QE,51.511524,-0.118087,6.15,0 days 00:07:00,2019-12-13 02:41:00,2019-12-13 02:48:00,6.6,,,,,,
15,15,888,881,SE16 7JD,51.499945,-0.051668,HA5 2PG,51.594579,-0.407233,26.82,0 days 00:46:00,2018-02-11 10:02:54,2018-02-11 10:48:54,15.41,,,,,,
16,16,175,2268,NW2 3SD,51.551527,-0.207337,SE16 6SE,51.500828,-0.043115,12.72,0 days 00:13:00,2011-01-26 19:06:48,2011-01-26 19:19:48,12.54,3.0,,,,,
17,17,1517,2616,SW8 4DQ,51.475995,-0.141798,SM2 7EP,51.345369,-0.214718,15.39,0 days 00:27:00,2014-04-02 20:36:38,2014-04-02 21:03:38,9.7,3.0,,,2.0,unpleasant,
18,18,2386,1953,E13 9EB,51.528589,0.030896,EC2A 2PX,51.522189,-0.085805,8.13,0 days 00:18:00,2014-07-19 22:40:21,2014-07-19 22:58:21,7.88,,,,5.0,,
19,19,291,511,N15 4XS,51.576106,-0.097279,E15 2YZ,51.532095,-0.005181,8.05,0 days 00:11:00,2010-10-05 05:49:54,2010-10-05 06:00:54,7.83,,,,,,
20,20,1766,325,SE14 5FH,51.478338,-0.049651,E1 4ZB,51.519026,-0.058075,4.56,0 days 00:14:00,2011-10-25 10:52:51,2011-10-25 11:06:51,4.28,,,,,,
21,21,286,2789,SW1W 0QT,51.497317,-0.144101,SW10 0SW,51.478556,-0.181815,3.35,0 days 00:15:00,2015-09-18 05:35:35,2015-09-18 05:50:35,4.78,,,,,,
22,22,9,1312,SE10 0PN,51.490129,0.008875,W1F 7AB,51.514209,-0.137001,10.48,0 days 00:10:00,2014-08-21 13:36:02,2014-08-21 13:46:02,7.24,,,,,,
23,23,50,2167,EC2R 8AN,51.514101,-0.086144,W1A 5NX,51.517133,-0.134244,3.36,0 days 00:20:00,2012-01-13 03:44:08,2012-01-13 04:04:08,4.78,,,,,,
24,24,994,3214,HA7 2HN,51.602413,-0.312161,N3 1DF,51.600768,-0.19493,8.12,0 days 00:05:00,2013-05-24 22:24:26,2013-05-24 22:29:26,7.88,,,,4.0,,
25,25,555,2240,WC2H 7LT,51.510176,-0.13104,SE12 8HH,51.454729,0.022204,12.3,0 days 00:13:00,2010-02-12 07:01:03,2010-02-12 07:14:03,8.15,,,,5.0,,
26,26,1539,270,E14 7JP,51.510962,-0.031771,TW9 1GL,51.461958,-0.298807,19.33,0 days 00:22:00,2012-01-11 18:21:10,2012-01-11 18:43:10,17.5,1.0,,,,,
27,27,2214,4470,E4 7LY,51.632218,-0.004635,CR4 4DD,51.400139,-0.181117,28.58,0 days 00:29:00,2013-05-31 03:45:58,2013-05-31 04:14:58,21.18,,,,,,
28,28,162,2560,SW17 8EB,51.431616,-0.15367,E1 7QY,51.515662,-0.071665,10.95,0 days 00:20:00,2019-03-29 15:41:08,2019-03-29 16:01:08,7.48,,,,,,
29,29,1177,3513,SE27 9PL,51.430534,-0.093393,W1U 1BU,51.514703,-0.151177,10.19,0 days 00:24:00,2012-03-02 06:28:18,2012-03-02 06:52:18,9.22,,,,,,
30,30,570,2461,SE24 0LR,51.458232,-0.108433,RM1 1RA,51.57788,0.180584,24.08,0 days 00:29:00,2011-08-07 02:39:28,2011-08-07 03:08:28,18.25,,,,,,
31,31,117,1964,WC2A 3PJ,51.515489,-0.116352,W1T 4QA,51.520625,-0.137243,1.56,0 days 00:10:00,2016-06-17 15:07:41,2016-06-17 15:17:41,2.78,,,,,,
32,32,628,873,N11 3HF,51.614915,-0.149476,NW7 0GH,51.615471,-0.241175,6.35,0 days 00:13:00,2010-08-23 06:39:35,2010-08-23 06:52:35,6.73,,,,,,
33,33,781,1383,W10 6SJ,51.515246,-0.21581,DA5 1EQ,51.446554,0.133808,25.46,0 days 00:25:00,2016-05-01 00:28:38,2016-05-01 00:53:38,19.15,,,,,,
34,34,725,3571,SE15 4TF,51.468838,-0.067881,HA8 8HH,51.622079,-0.282366,22.63,0 days 00:33:00,2014-05-25 11:44:36,2014-05-25 12:17:36,13.32,,,,,,
35,35,966,455,IG11 7FT,51.531548,0.076561,DA8 3DE,51.478581,0.177673,9.17,0 days 00:18:00,2018-10-17 18:59:56,2018-10-17 19:17:56,9.88,,,,1.0,not recommend,
36,36,2048,3386,EC3M 5EA,51.512421,-0.081833,N16 9HP,51.559256,-0.086946,5.22,0 days 00:06:00,2019-08-20 12:01:28,2019-08-20 12:07:28,4.61,,,,,,
37,37,847,4303,WC2R 0BZ,51.510167,-0.120895,SW20 0QN,51.411765,-0.235731,13.55,0 days 00:41:00,2017-06-09 01:14:05,2017-06-09 01:55:05,11.41,,,,1.0,,
38,38,1545,3125,DA8 1JE,51.473528,0.15671,NW5 2UA,51.549671,-0.137297,22.1,0 days 00:31:00,2010-04-20 14:30:05,2010-04-20 15:01:05,13.05,,,,5.0,,
39,39,211,3424,SW3 5BD,51.482733,-0.173411,SE21 7ZF,51.436412,-0.087163,7.91,0 days 00:11:00,2015-02-01 13:45:10,2015-02-01 13:56:10,5.96,,,,,,
40,40,83,3471,IG5 0RT,51.55807,0.072373,NW2 6YH,51.563154,-0.232792,21.17,0 days 00:40:00,2017-06-01 10:54:22,2017-06-01 11:34:22,12.58,,,,,,
41,41,983,1784,E14 7LR,51.513317,-0.03817,SW2 2QL,51.44617,-0.111061,9.03,0 days 00:19:00,2018-08-14 01:51:36,2018-08-14 02:10:36,8.47,,,,,,
42,42,869,2060,HA8 7EJ,51.610312,-0.278347,SE23 2YX,51.436445,-0.053119,24.87,0 days 00:42:00,2014-09-30 21:25:20,2014-09-30 22:07:20,14.44,5.0,,,,,
43,43,2330,4164,HA4 4GY,51.57455,-0.41232,SE1 7AG,51.50096,-0.113162,22.31,0 days 00:16:00,2010-03-15 21:40:31,2010-03-15 21:56:31,13.16,,,,,,
44,44,1534,2942,HA3 7QB,51.596352,-0.324658,N15 6QR,51.578189,-0.0811,17.0,0 days 00:24:00,2016-11-06 17:47:07,2016-11-06 18:11:07,10.5,5.0,,,5.0,recommend,"['polite', 'quiet', 'neat and tidy']"
45,45,1529,179,SW2 3RP,51.446461,-0.123023,SE6 4WU,51.438362,-0.019944,7.22,0 days 00:07:00,2011-10-16 05:56:12,2011-10-16 06:03:12,7.29,,,,3.0,dirty,
